ref_date,geo,reg_status,prog_level,program_class,sex,value
1992/1993,Canada,"Total, registration status",Other graduate levels,"Business, management and public administration",Females,1230
1992/1993,Canada,"Total, registration status",Other graduate levels,Physical and life sciences and technologies,Both sexes,330
1992/1993,Canada,"Total, registration status",Other graduate levels,Physical and life sciences and technologies,Males,201
1992/1993,Canada,"Total, registration status",Other graduate levels,Physical and life sciences and technologies,Females,126
1992/1993,Canada,"Total, registration status",Other graduate levels,"Mathematics, computer and information sciences",Both sexes,228
1992/1993,Canada,"Total, registration status",Other graduate levels,"Mathematics, computer and information sciences",Males,129
1992/1993,Canada,"Total, registration status",Other graduate levels,"Mathematics, computer and information sciences",Females,99
1992/1993,Canada,"Total, registration status",Other graduate levels,"Architecture, engineering and related technologies",Both sexes,465
1992/1993,Canada,"Total, registration status",Other graduate levels,"Architecture, engineering and related technologies",Males,357
1992/1993,Canada,"Total, registration status",Other graduate levels,"Architecture, engineering and related technologies",Females,108
1992/1993,Canada,"Total, registration status",Other graduate levels,"Agriculture, natural resources and conservation",Both sexes,126
1992/1993,Canada,"Total, registration status",Other graduate levels,"Agriculture, natural resources and conservation",Males,75
1992/1993,Canada,"Total, registration status",Other graduate levels,"Agriculture, natural resources and conservation",Females,51
1992/1993,Canada,"Total, registration status",Other graduate levels,"Health, parks, recreation and fitness",Both sexes,7794
1992/1993,Canada,"Total, registration status",Other graduate levels,"Health, parks, recreation and fitness",Males,4761
1992/1993,Canada,"Total, registration status",Other graduate levels,"Health, parks, recreation and fitness",Females,3030
1992/1993,Canada,"Total, registration status",Other graduate levels,Other instructional programs,Both sexes,162
1992/1993,Canada,"Total, registration status",Other graduate levels,Other instructional programs,Males,63
1992/1993,Canada,"Total, registration status",Other graduate levels,Other instructional programs,Females,99
1992/1993,Canada,"Total, registration status",Other program levels,"Total, instructional programs",Both sexes,95781
1992/1993,Canada,"Total, registration status",Other program levels,"Total, instructional programs",Males,38325
1992/1993,Canada,"Total, registration status",Other program levels,"Total, instructional programs",Females,57459
1992/1993,Canada,"Total, registration status",Other program levels,Education,Both sexes,3597
1992/1993,Canada,"Total, registration status",Other program levels,Education,Males,840
1992/1993,Canada,"Total, registration status",Other program levels,Education,Females,2754
1992/1993,Canada,"Total, registration status",Other program levels,Visual and performing arts and communications technologies,Both sexes,747
1992/1993,Canada,"Total, registration status",Other program levels,Visual and performing arts and communications technologies,Males,279
1992/1993,Canada,"Total, registration status",Other program levels,Visual and performing arts and communications technologies,Females,468
1992/1993,Canada,"Total, registration status",Other program levels,Humanities,Both sexes,5043
1992/1993,Canada,"Total, registration status",Other program levels,Humanities,Males,1866
1992/1993,Canada,"Total, registration status",Other program levels,Humanities,Females,3177
1992/1993,Canada,"Total, registration status",Other program levels,Social and behavioural sciences and law,Both sexes,2571
1992/1993,Canada,"Total, registration status",Other program levels,Social and behavioural sciences and law,Males,828
1992/1993,Canada,"Total, registration status",Other program levels,Social and behavioural sciences and law,Females,1740
1992/1993,Canada,"Total, registration status",Other program levels,"Business, management and public administration",Both sexes,5913
1992/1993,Canada,"Total, registration status",Other program levels,"Business, management and public administration",Males,2646
1992/1993,Canada,"Total, registration status",Other program levels,"Business, management and public administration",Females,3267
1992/1993,Canada,"Total, registration status",Other program levels,Physical and life sciences and technologies,Both sexes,1176
1992/1993,Canada,"Total, registration status",Other program levels,Physical and life sciences and technologies,Males,651
1992/1993,Canada,"Total, registration status",Other program levels,Physical and life sciences and technologies,Females,522
1992/1993,Canada,"Total, registration status",Other program levels,"Mathematics, computer and information sciences",Both sexes,441
1992/1993,Canada,"Total, registration status",Other program levels,"Mathematics, computer and information sciences",Males,327
1992/1993,Canada,"Total, registration status",Other program levels,"Mathematics, computer and information sciences",Females,114
1992/1993,Canada,"Total, registration status",Other program levels,"Architecture, engineering and related technologies",Both sexes,888
1992/1993,Canada,"Total, registration status",Other program levels,"Architecture, engineering and related technologies",Males,663
1992/1993,Canada,"Total, registration status",Other program levels,"Architecture, engineering and related technologies",Females,222
1992/1993,Canada,"Total, registration status",Other program levels,"Agriculture, natural resources and conservation",Both sexes,1536
1992/1993,Canada,"Total, registration status",Other program levels,"Agriculture, natural resources and conservation",Males,642
1992/1993,Canada,"Total, registration status",Other program levels,"Agriculture, natural resources and conservation",Females,894
1992/1993,Canada,"Total, registration status",Other program levels,"Health, parks, recreation and fitness",Both sexes,1083
